iter	Logloss
0	0.6890992985
1	0.6854645544
2	0.6823393241
3	0.6791694905
4	0.6758483616
5	0.6730217546
6	0.6700118988
7	0.666652913
8	0.6633362791
9	0.6604123132
10	0.6580742597
11	0.6550962556
12	0.6525603361
13	0.6503523441
14	0.6480000763
15	0.6459528731
16	0.6435528979
17	0.6416020409
18	0.6394885964
19	0.6369665086
20	0.6342517772
21	0.6321158551
22	0.630109934
23	0.6284092588
24	0.6266491196
25	0.6247636648
26	0.6230757817
27	0.6212355047
28	0.6198652376
29	0.6178960946
30	0.616430831
31	0.6149293047
32	0.6132221303
33	0.6115423383
34	0.6101519404
35	0.6088153822
36	0.6070955388
37	0.6055044307
38	0.6038417286
39	0.6023280596
40	0.6011210479
41	0.5997240931
42	0.5987206796
43	0.5975904538
44	0.5963069129
45	0.5952950655
46	0.5941264411
47	0.5931779368
48	0.5922070638
49	0.5911277097
50	0.5897696442
51	0.5886407004
52	0.5877199079
53	0.5867349123
54	0.585697043
55	0.584986228
56	0.5840409322
57	0.5831692193
58	0.5824558773
59	0.5815549996
60	0.580781234
61	0.5802748406
62	0.5796093039
63	0.5789136186
64	0.5780826738
65	0.5775080065
66	0.576888548
67	0.5762574388
68	0.5755879893
69	0.5748460157
70	0.5740767474
71	0.57352669
72	0.5730147805
73	0.572457117
74	0.5717410175
75	0.5711034738
76	0.5705891756
77	0.5700627705
78	0.5694649747
79	0.5689457665
80	0.5685555566
81	0.5681666088
82	0.5676881141
83	0.5671484341
84	0.5666728125
85	0.5660445577
86	0.5655717054
87	0.564937149
88	0.5644125384
89	0.5640155703
90	0.5637065472
91	0.5632132225
92	0.5626869373
93	0.5621574155
94	0.5616106016
95	0.5611545005
96	0.5607445655
97	0.5603215449
98	0.559960727
99	0.5596400334
100	0.5593563993
101	0.5589507865
102	0.5585472122
103	0.5581345605
104	0.5576818629
105	0.5573363367
106	0.5569527346
107	0.5564861024
108	0.5560713631
109	0.5556812926
110	0.5551765658
111	0.5548585112
112	0.5545134172
113	0.5541424332
114	0.5538588616
115	0.5536157336
116	0.553262674
117	0.5529274173
118	0.5525475422
119	0.5522681614
120	0.5518859049
121	0.5513649747
122	0.5510793794
123	0.5508186674
124	0.5505128924
125	0.5502175881
126	0.549883626
127	0.5496078455
128	0.5492368629
129	0.5489670438
130	0.5487308016
131	0.5484682812
132	0.5481843807
133	0.5479788605
134	0.5477294168
135	0.5474555884
136	0.547128362
137	0.5467790959
138	0.5465625364
139	0.5462575209
140	0.5460860119
141	0.5458253589
142	0.5456174792
143	0.5453750196
144	0.5451299653
145	0.5448928475
146	0.5445752251
147	0.544388269
148	0.5440527771
149	0.5438512563
150	0.5436575932
151	0.5434357816
152	0.5432881654
153	0.5430047992
154	0.5427342503
155	0.5424764944
156	0.5421074166
157	0.5417055091
158	0.5415732214
159	0.5414188877
160	0.5411131528
161	0.5408597077
162	0.5406483958
163	0.5403963481
164	0.5401269837
165	0.5399563386
166	0.5397288849
167	0.5395573509
168	0.5393467604
169	0.5390779994
170	0.5387283081
171	0.538542138
172	0.5383258084
173	0.5381896066
174	0.5379433447
175	0.5377300849
176	0.5375448447
177	0.5373459172
178	0.5371753279
179	0.5368816418
180	0.536611538
181	0.5364657464
182	0.536240098
183	0.5360765343
184	0.5358560796
185	0.5355617052
186	0.5352287319
187	0.5349571145
188	0.5347259202
189	0.5345183427
190	0.5343142564
191	0.5340675794
192	0.5338638891
193	0.5336768221
194	0.5334622394
195	0.5332511372
196	0.5330554918
197	0.5328768867
198	0.5327051434
199	0.5324769442
200	0.5322250542
201	0.5319922637
202	0.5318256266
203	0.5315346332
204	0.5312430012
205	0.5310138302
206	0.5308818512
207	0.5305719682
208	0.5303231898
209	0.5301560654
210	0.529900387
211	0.5296848124
212	0.5295379244
213	0.5293993196
214	0.5292479924
215	0.5291003725
216	0.5288695134
217	0.5287051979
218	0.5284444154
219	0.5282908401
220	0.5280852502
221	0.5278206738
222	0.5275749781
223	0.5273675373
224	0.5272004944
225	0.5270183559
226	0.5268934385
227	0.5266282951
228	0.5265099628
229	0.5263578983
230	0.5261746159
231	0.5259812722
232	0.5258135927
233	0.5256586916
234	0.5254100868
235	0.5252726942
236	0.5249720863
237	0.5248222063
238	0.5246822329
239	0.5245051962
240	0.5243395642
241	0.5241194205
242	0.5239524177
243	0.5237114414
244	0.523536849
245	0.523380779
246	0.5233030876
247	0.5231544231
248	0.5229990769
249	0.5228938583
250	0.5226525016
251	0.5224518201
252	0.5222537192
253	0.5220748092
254	0.521938521
255	0.5216490368
256	0.5215221798
257	0.5213752976
258	0.5211765118
259	0.520953487
260	0.5207979222
261	0.5205205856
262	0.5203138249
263	0.5201234575
264	0.5199594843
265	0.5197423905
266	0.5195568355
267	0.5194495255
268	0.5192532964
269	0.5190898222
270	0.5189342383
271	0.5187581276
272	0.5185300341
273	0.5183402214
274	0.5181318913
275	0.5180073332
276	0.5178762597
277	0.5176561849
278	0.5174903397
279	0.5173380953
280	0.517177953
281	0.5170181725
282	0.516723001
283	0.5165949884
284	0.5164674868
285	0.5162928547
286	0.5160590219
287	0.515902631
288	0.5157554805
289	0.5155668993
290	0.5153870967
291	0.5151237521
292	0.5149509498
293	0.5147420343
294	0.514605396
295	0.5144602879
296	0.514200014
297	0.5140476178
298	0.5138648134
299	0.5137108831
300	0.5134904348
301	0.5132518537
302	0.5130687334
303	0.5129278942
304	0.5128476766
305	0.51266098
306	0.5124690318
307	0.5122773825
308	0.5122133484
309	0.5120409313
310	0.5118646751
311	0.5115915607
312	0.5113927548
313	0.5111379804
314	0.5109586676
315	0.5107865059
316	0.5104335106
317	0.5102174041
318	0.5099995835
319	0.5097771227
320	0.5095905135
321	0.5095066854
322	0.5093521709
323	0.5092128346
324	0.5090784162
325	0.5089341287
326	0.5087232665
327	0.5086033384
328	0.5084389532
329	0.5082877153
330	0.5080858233
331	0.507876036
332	0.5076399254
333	0.5074702549
334	0.5072587137
335	0.507033495
336	0.5068724414
337	0.506632809
338	0.5064878889
339	0.5063498902
340	0.5060581252
341	0.5059065386
342	0.5057408443
343	0.5055709435
344	0.5054323283
345	0.5052408532
346	0.5050022719
347	0.5048247335
348	0.5046759773
349	0.5045378053
350	0.50433228
351	0.5042247776
352	0.5040629682
353	0.5039381906
354	0.5037146629
355	0.5035637348
356	0.5034372417
357	0.5031942607
358	0.5030025868
359	0.5028414627
360	0.502682978
361	0.5025415973
362	0.5024353716
363	0.5022980118
364	0.50205196
365	0.5018605398
366	0.5016180196
367	0.5014596415
368	0.5013226163
369	0.501145616
370	0.5009905322
371	0.5007312667
372	0.5005682391
373	0.5003956515
374	0.5002201066
375	0.5000365821
376	0.4998028964
377	0.4997229372
378	0.4995187339
379	0.499364183
380	0.4992121346
381	0.4990067809
382	0.4988791565
383	0.4987124557
384	0.4986411548
385	0.4985666392
386	0.4984085037
387	0.4981947862
388	0.4980343036
389	0.4978782049
390	0.497727143
391	0.4974903298
392	0.4972950263
393	0.4971042914
394	0.4968570368
395	0.4967439886
396	0.4964645646
397	0.4963422374
398	0.4960711512
399	0.4959581394
400	0.4957843903
401	0.4954851039
402	0.4953698154
403	0.4952224009
404	0.4950774499
405	0.4949345342
406	0.4947444002
407	0.4945972703
408	0.4943438795
409	0.4941124656
410	0.4939296301
411	0.493786246
412	0.4936259605
413	0.4934486074
414	0.4932968616
415	0.493117559
416	0.4928935542
417	0.4927860605
418	0.4925757784
419	0.4922932099
420	0.4921352275
421	0.4919623822
422	0.4917892532
423	0.4916629387
424	0.4915464301
425	0.491388428
