model,test_brier
ExtraTrees,0.17014901904583368
LGBM_rf_mode,0.1718129386197317
LGBM_conservative,0.17241090038320678
RF_shallow,0.17249585872691678
LGBM_low_lr,0.17283479476834937
RF_balanced_subsample,0.17298330825321506
XGB_dart,0.1732079644514956
XGB_conservative,0.17352091607892892
RF_deep,0.1740634766739277
XGB_low_lr,0.17429885737878958
GBM_shallow,0.17515894368556617
LGBM_goss,0.17612938116362123
XGB_colsample_node,0.1766540789676485
LogReg_L1_highC,0.17848912694076444
XGB_aggressive,0.17898327906208542
LogReg_L2,0.17899937462137194
LogReg_ElasticNet,0.17907332598310868
GBM_deep,0.1801589788972393
LGBM_aggressive,0.18141162682165324
