iter	Logloss
0	0.6901717265
1	0.6864069236
2	0.6817396178
3	0.6780331337
4	0.6756608342
5	0.67187367
6	0.6678637778
7	0.6645735125
8	0.6626435023
9	0.6598808868
10	0.6564825745
11	0.6532286021
12	0.6508124434
13	0.6476039209
14	0.646172298
15	0.6432327554
16	0.6410667138
17	0.6391637739
18	0.6369950904
19	0.6346321774
20	0.6321707061
21	0.6293613011
22	0.6271888504
23	0.6252040278
24	0.6228570702
25	0.6215051741
26	0.6200724447
27	0.6186281449
28	0.616090518
29	0.6142807558
30	0.6122749193
31	0.6103821713
32	0.6087473516
33	0.6074460241
34	0.6059141258
35	0.6051650507
36	0.6041243704
37	0.602985309
38	0.6018213087
39	0.6004711847
40	0.5987820759
41	0.5970231195
42	0.5955841156
43	0.5944633652
44	0.5924843418
45	0.5914151746
46	0.5903945907
47	0.5893982688
48	0.5887229245
49	0.5878665
50	0.5874406965
51	0.5865602199
52	0.5851451338
53	0.5839014074
54	0.5830234817
55	0.5825344281
56	0.5816605969
57	0.5810094579
58	0.5805018413
59	0.5795996245
60	0.578234019
61	0.5770265559
62	0.5759357347
63	0.5755002272
64	0.5748022261
65	0.5738417823
66	0.5730019783
67	0.5720541519
68	0.5716660816
69	0.5709164434
70	0.5704244729
71	0.5697566925
72	0.5685496182
73	0.5679426387
74	0.5674747483
75	0.5665443594
76	0.5660856819
77	0.5652856063
78	0.5646874895
79	0.5638062893
80	0.562917942
81	0.5624987868
82	0.5616829807
83	0.5610693381
84	0.5601804842
85	0.559684095
86	0.5588466415
87	0.5580012128
88	0.557318737
89	0.5569769169
90	0.5565280177
91	0.5559308569
92	0.5550876912
93	0.554515323
94	0.5539262056
95	0.5533427954
96	0.5528216655
97	0.5521381228
98	0.5518627378
99	0.5513756666
100	0.5507755087
101	0.5501281972
102	0.5497919716
103	0.5492541043
104	0.5487067953
105	0.5483948206
106	0.5479365809
107	0.5474967213
108	0.5468892915
109	0.5463966292
110	0.5460161878
111	0.5454936396
112	0.5448646939
113	0.5443282125
114	0.5439037101
115	0.5433167948
116	0.5429590889
117	0.5424397182
118	0.5421426548
119	0.5412363935
120	0.5408752909
121	0.5403466415
122	0.5401481807
123	0.5399130759
124	0.5391237998
125	0.5387684933
126	0.5381871786
127	0.5377006874
128	0.5373165563
129	0.5369284372
130	0.5366144924
131	0.5359812871
132	0.5355716818
133	0.5351229167
134	0.5348431807
135	0.5343570076
136	0.533969289
137	0.5335404728
138	0.5333091138
139	0.5330641692
140	0.5326565367
141	0.5323735224
142	0.5319801622
143	0.531625502
144	0.5312725389
145	0.5310148779
146	0.5303219653
147	0.5298774747
148	0.5294856147
149	0.5291478957
150	0.5287768658
151	0.5281204759
152	0.5278212963
153	0.5275783147
154	0.5273256655
155	0.5271720799
156	0.5270267639
157	0.5267305292
158	0.5262865396
159	0.5258833732
160	0.5255356946
161	0.5251742842
162	0.5248944412
163	0.524638855
164	0.524183478
165	0.5238693731
166	0.5237069633
167	0.5234367014
168	0.5231782715
169	0.5228489712
170	0.5225678893
171	0.5221997352
172	0.5218129893
173	0.521551498
174	0.5211167223
175	0.5205957138
176	0.5203375555
177	0.5200028984
178	0.5196543625
179	0.519395869
180	0.5191905992
181	0.5188394263
182	0.518685598
183	0.5182775734
184	0.5179620289
185	0.5175097646
186	0.5172643974
187	0.5170056916
188	0.5167290693
189	0.5165084779
190	0.5162962615
191	0.5161734122
192	0.5157066325
193	0.5154368378
194	0.5151641788
195	0.5147127716
196	0.5141825785
197	0.5139429316
198	0.513586927
199	0.5130464452
200	0.5127981541
201	0.5125110652
202	0.5121851933
203	0.5119652371
204	0.5118980704
205	0.5115169828
206	0.5111107638
207	0.5105432003
208	0.5101508118
209	0.509769513
210	0.5095302273
211	0.5093069063
212	0.5089099761
213	0.5086349973
214	0.5082051443
215	0.5079747861
216	0.5077624653
217	0.5073679979
218	0.5070069308
219	0.5067277667
220	0.5064375817
221	0.5060936382
222	0.5057796853
223	0.5055876662
224	0.5053763331
225	0.5051361582
226	0.5049644629
227	0.5047531553
228	0.5043045014
229	0.5040203535
230	0.5034707717
231	0.5033180861
232	0.5031494003
233	0.5029069028
234	0.5025699722
235	0.5023729498
236	0.5019588331
237	0.5018100843
238	0.5015724796
239	0.501308057
240	0.5009900016
241	0.5007715969
242	0.5003903422
243	0.5001429302
244	0.4998461634
245	0.4994801687
246	0.4992755172
247	0.4990512172
248	0.4987771358
249	0.4983141236
250	0.4981300466
251	0.4977767737
252	0.4974464354
253	0.4971523016
254	0.4969324504
255	0.4966665624
256	0.4963356482
257	0.4961181056
258	0.4957210524
259	0.4956949109
260	0.4953177889
261	0.495112113
262	0.4948521917
263	0.4945612453
264	0.4944647088
265	0.494305312
266	0.4940487204
267	0.4936182834
268	0.4934688114
269	0.4930367867
270	0.4927987675
271	0.4924422273
272	0.4920784309
273	0.4918727556
274	0.4915618171
275	0.4912936873
276	0.4909813713
277	0.4907221177
278	0.4903760577
279	0.4899934542
280	0.4895967434
281	0.4893752852
282	0.4890864823
283	0.4887998053
284	0.4886505248
285	0.4885319455
286	0.4883544049
287	0.4880684034
288	0.4876838339
289	0.487464046
290	0.4871988672
291	0.4869712348
292	0.4867665778
293	0.4863802587
294	0.4861936788
295	0.486107769
296	0.485880314
297	0.4855724272
298	0.4853030853
299	0.48509145
300	0.4847784727
301	0.4845608226
302	0.4843226937
303	0.4840931358
304	0.4839212432
305	0.4837869716
306	0.4834477955
307	0.483162211
308	0.482939276
309	0.482601836
310	0.4823237203
311	0.4820201369
312	0.481637312
313	0.4812937321
314	0.4810649392
315	0.4806695133
316	0.480415608
317	0.4800383772
318	0.4798828676
319	0.4797200292
320	0.4793046048
321	0.4791023169
322	0.4788946142
323	0.4785082107
324	0.4782150034
325	0.4779398946
326	0.4776597256
327	0.4774499826
328	0.4770652308
329	0.4766730499
330	0.476367342
331	0.476043003
332	0.4757943422
333	0.4753852475
334	0.4751288877
335	0.4747906473
336	0.4744858838
337	0.4740975195
338	0.4736713847
339	0.473351722
340	0.4728692858
341	0.4728054584
342	0.4723952977
343	0.4720990585
344	0.4718113551
345	0.4716869442
346	0.4714797336
347	0.4709620445
348	0.4708239871
349	0.4704518923
350	0.4702261931
351	0.469787226
352	0.4695520649
353	0.4690811125
354	0.4685774071
355	0.4682489162
356	0.4679033939
357	0.4676547032
358	0.4672988492
359	0.467008709
360	0.4667570334
361	0.4663614749
362	0.466254006
363	0.4660092723
364	0.4654550604
365	0.4652342913
366	0.4648543658
367	0.464492594
368	0.4641714576
369	0.463731035
370	0.4633070254
371	0.4630314644
372	0.4627860985
373	0.4625137158
374	0.462181922
375	0.461659477
376	0.4614048802
377	0.4610981492
378	0.4609380936
379	0.4605093989
380	0.4599479375
381	0.4597176916
382	0.4593935431
383	0.4588937031
384	0.4585808883
385	0.4582314581
386	0.4579485722
387	0.4576915406
388	0.4573786357
389	0.4570235083
390	0.456737869
391	0.456393024
392	0.4558795969
393	0.4556688513
394	0.4551797853
395	0.4548750722
396	0.454459857
397	0.4541000016
398	0.4538259468
399	0.4533164551
400	0.4529578067
401	0.4528299184
402	0.4524840226
403	0.4520234491
404	0.4517118285
405	0.4514540846
406	0.4510989866
407	0.4506990918
408	0.4502534155
409	0.4497801657
410	0.4494626975
411	0.4489914035
412	0.4486672167
413	0.4483322612
414	0.4478448217
415	0.447512354
416	0.4472299703
417	0.4469083449
418	0.4467221921
419	0.446266983
420	0.4461256566
421	0.4457630734
422	0.4451329221
423	0.4447135479
424	0.4445049548
425	0.4439746707
426	0.4436172183
427	0.4431000295
428	0.4428612256
429	0.4426687441
430	0.4423230958
431	0.441933523
432	0.4415211579
433	0.4410491644
434	0.4406518624
435	0.4400412767
436	0.439858512
437	0.4395123942
438	0.4391052242
